Iter 0072240  Loss: 0.008166
Iter 0072260  Loss: 0.007681
Iter 0072280  Loss: 0.008808
Iter 0072300  Loss: 0.007830
Iter 0072320  Loss: 0.008004
Iter 0072340  Loss: 0.008494
Iter 0072360  Loss: 0.007880
Iter 0072380  Loss: 0.008246
Iter 0072400  Loss: 0.007855
Iter 0072420  Loss: 0.008947
Iter 0072440  Loss: 0.008710
Iter 0072460  Loss: 0.008697
Iter 0072480  Loss: 0.008832
Iter 0072500  Loss: 0.008687
Iter 0072520  Loss: 0.007763
Iter 0072540  Loss: 0.008405
Iter 0072560  Loss: 0.007978
Iter 0072580  Loss: 0.008477
Iter 0072600  Loss: 0.008477
Iter 0072620  Loss: 0.009002
Iter 0072640  Loss: 0.009020
Iter 0072660  Loss: 0.008806
Iter 0072680  Loss: 0.008241
Iter 0072700  Loss: 0.008563
Iter 0072720  Loss: 0.007874
Iter 0072740  Loss: 0.008081
Iter 0072760  Loss: 0.007887
Iter 0072780  Loss: 0.007898
Iter 0072800  Loss: 0.007960
Iter 0072820  Loss: 0.007388
Iter 0072840  Loss: 0.009895
Iter 0072860  Loss: 0.009824
Iter 0072880  Loss: 0.008228
Iter 0072900  Loss: 0.008096
Iter 0072920  Loss: 0.008909
Iter 0072940  Loss: 0.008748
Iter 0072960  Loss: 0.008949
Iter 0072980  Loss: 0.008251
Iter 0073000  Loss: 0.008319
Iter 0073020  Loss: 0.007951
Iter 0073040  Loss: 0.008412
Iter 0073060  Loss: 0.008856
Iter 0073080  Loss: 0.008852
Iter 0073100  Loss: 0.008211
Iter 0073120  Loss: 0.008698
Iter 0073140  Loss: 0.007669
Iter 0073160  Loss: 0.008752
Iter 0073180  Loss: 0.008047
Iter 0073200  Loss: 0.008175
Iter 0073220  Loss: 0.008544
Iter 0073240  Loss: 0.007850
Iter 0073260  Loss: 0.008509
Iter 0073280  Loss: 0.008154
Iter 0073300  Loss: 0.007706
Iter 0073320  Loss: 0.007710
Iter 0073340  Loss: 0.008574
Iter 0073360  Loss: 0.008663
Iter 0073380  Loss: 0.008076
Iter 0073400  Loss: 0.008244
Iter 0073420  Loss: 0.008034
Iter 0073440  Loss: 0.008478
Iter 0073460  Loss: 0.008618
Iter 0073480  Loss: 0.008065
Iter 0073500  Loss: 0.008062
Iter 0073520  Loss: 0.008180
Iter 0073540  Loss: 0.008426
Iter 0073560  Loss: 0.008099
Iter 0073580  Loss: 0.007816
Iter 0073600  Loss: 0.008590
Iter 0073620  Loss: 0.008342
Iter 0073640  Loss: 0.007938
Iter 0073660  Loss: 0.008530
Iter 0073680  Loss: 0.008326
Iter 0073700  Loss: 0.008613
Iter 0073720  Loss: 0.008667
Iter 0073740  Loss: 0.008046
Iter 0073760  Loss: 0.008040
Iter 0073780  Loss: 0.008273
Iter 0073800  Loss: 0.008397
Iter 0073820  Loss: 0.008409
Iter 0073840  Loss: 0.008627
Iter 0073860  Loss: 0.008589
Iter 0073880  Loss: 0.008278
Iter 0073900  Loss: 0.007798
Iter 0073920  Loss: 0.008808
Iter 0073940  Loss: 0.008227
Iter 0073960  Loss: 0.008468
Iter 0073980  Loss: 0.007509
Iter 0074000  Loss: 0.008704
Iter 0074020  Loss: 0.007933
Iter 0074040  Loss: 0.007967
Iter 0074060  Loss: 0.007905
Iter 0074080  Loss: 0.007700
Iter 0074100  Loss: 0.007718
Iter 0074120  Loss: 0.007634
Iter 0074140  Loss: 0.008988
Iter 0074160  Loss: 0.008136
Iter 0074180  Loss: 0.008407
Iter 0074200  Loss: 0.008229
Iter 0074220  Loss: 0.008112
Iter 0074240  Loss: 0.008539
Iter 0074260  Loss: 0.007640
Iter 0074280  Loss: 0.008323
Iter 0074300  Loss: 0.008039
Iter 0074320  Loss: 0.008378
Iter 0074340  Loss: 0.008461
Iter 0074360  Loss: 0.008179
Iter 0074380  Loss: 0.008098
Iter 0074400  Loss: 0.008444
Iter 0074420  Loss: 0.008265
Iter 0074440  Loss: 0.008498
Iter 0074460  Loss: 0.009139
Iter 0074480  Loss: 0.008937
Iter 0074500  Loss: 0.008532
Iter 0074520  Loss: 0.008345
Iter 0074540  Loss: 0.008258
Iter 0074560  Loss: 0.008044
Iter 0074580  Loss: 0.007994
Iter 0074600  Loss: 0.007758
Iter 0074620  Loss: 0.008348
Iter 0074640  Loss: 0.008513
Iter 0074660  Loss: 0.008722
Iter 0074680  Loss: 0.008034
Iter 0074700  Loss: 0.008098
Iter 0074720  Loss: 0.007458
Iter 0074740  Loss: 0.007814
Iter 0074760  Loss: 0.007891
Iter 0074780  Loss: 0.008792
Iter 0074800  Loss: 0.008013
Iter 0074820  Loss: 0.007886
Iter 0074740  Loss: 0.007814
Iter 0074760  Loss: 0.007891
Iter 0074780  Loss: 0.008792
Iter 0074800  Loss: 0.008013
Iter 0074820  Loss: 0.007886
Iter 0074760  Loss: 0.007891
Iter 0074780  Loss: 0.008792
Iter 0074800  Loss: 0.008013
Iter 0074820  Loss: 0.007886
Iter 0074780  Loss: 0.008792
Iter 0074800  Loss: 0.008013
Iter 0074820  Loss: 0.007886
Iter 0074800  Loss: 0.008013
Iter 0074820  Loss: 0.007886
Iter 0074840  Loss: 0.008194
Iter 0074860  Loss: 0.007833
Iter 0074820  Loss: 0.007886
Iter 0074840  Loss: 0.008194
Iter 0074860  Loss: 0.007833
Iter 0074840  Loss: 0.008194
Iter 0074860  Loss: 0.007833
Iter 0074860  Loss: 0.007833
Iter 0074880  Loss: 0.007516
Iter 0074900  Loss: 0.007778
Iter 0074900  Loss: 0.007778
Iter 0074920  Loss: 0.007412
Iter 0074940  Loss: 0.007925
Iter 0074960  Loss: 0.007916
Iter 0074980  Loss: 0.007600
Iter 0075000  Loss: 0.008115
Iter 0075020  Loss: 0.008444
Iter 0075040  Loss: 0.008536
Iter 0075060  Loss: 0.007646
Iter 0075080  Loss: 0.008279
Iter 0075100  Loss: 0.008642
Iter 0075120  Loss: 0.008477
Iter 0075140  Loss: 0.007988
Iter 0075160  Loss: 0.008169
Iter 0075180  Loss: 0.008593
Iter 0075200  Loss: 0.009071
Iter 0075000  Loss: 0.008115
Iter 0075020  Loss: 0.008444
Iter 0075040  Loss: 0.008536
Iter 0075060  Loss: 0.007646
Iter 0075080  Loss: 0.008279
Iter 0075100  Loss: 0.008642
Iter 0075120  Loss: 0.008477
Iter 0075140  Loss: 0.007988
Iter 0075160  Loss: 0.008169
Iter 0075180  Loss: 0.008593
Iter 0075000  Loss: 0.008115
Iter 0075020  Loss: 0.008444
Iter 0075040  Loss: 0.008536
Iter 0075060  Loss: 0.007646
Iter 0075080  Loss: 0.008279
Iter 0075100  Loss: 0.008642
Iter 0075120  Loss: 0.008477
Iter 0075140  Loss: 0.007988
Iter 0075000  Loss: 0.008115
Iter 0075020  Loss: 0.008444
Iter 0075040  Loss: 0.008536
Iter 0075060  Loss: 0.007646
Iter 0075080  Loss: 0.008279
Iter 0075100  Loss: 0.008642
Iter 0075000  Loss: 0.008115
Iter 0075020  Loss: 0.008444
Iter 0075040  Loss: 0.008536
Iter 0075060  Loss: 0.007646
Iter 0075080  Loss: 0.008279
Iter 0075000  Loss: 0.008115
Iter 0075020  Loss: 0.008444
Iter 0075040  Loss: 0.008536
Iter 0075060  Loss: 0.007646
Iter 0075080  Loss: 0.008279
Iter 0075000  Loss: 0.008115
Iter 0075020  Loss: 0.008444
Iter 0075040  Loss: 0.008536
Iter 0075000  Loss: 0.008115
Iter 0075000  Loss: 0.008115
Iter 0075000  Loss: 0.008115
Iter 0075020  Loss: 0.008444
Iter 0075000  Loss: 0.008115
Iter 0075020  Loss: 0.008444
Iter 0075040  Loss: 0.008536
Iter 0075060  Loss: 0.007646
Iter 0075000  Loss: 0.008115
Iter 0075020  Loss: 0.008444
Iter 0075040  Loss: 0.008536
Iter 0075000  Loss: 0.008115
Iter 0075000  Loss: 0.008115
Iter 0075020  Loss: 0.008444
Iter 0075040  Loss: 0.008536
Iter 0075060  Loss: 0.007646
Iter 0075080  Loss: 0.008279
Iter 0075100  Loss: 0.008642
Iter 0075120  Loss: 0.008477
Iter 0075140  Loss: 0.007988
Iter 0075160  Loss: 0.008169
Iter 0075180  Loss: 0.008593
Iter 0075200  Loss: 0.009071
Iter 0075220  Loss: 0.008136
Iter 0075240  Loss: 0.008437
Iter 0075260  Loss: 0.007436
Iter 0075280  Loss: 0.008196
Iter 0075300  Loss: 0.008034
